EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
675603,ALAMEDA CO.,OAKLAND,01/19/2017,1100,Hail,0.25, ,0,0,5000000,0,CA,PST-8, ,113024,C,1,MTR,0,0,Public, , , ,1,SSE,1,SSE,OAKLAND,01/19/2017,1110,37.7708,-122.216,37.7708,-122.216,"Damage dollar amounts is a low estimate. Impacts are not fully known, but any individual car crash would likely exceed this amount.","The second in a series of three storms between January 18-23. Storm two occurred January 19-20. Heavy rain, strong winds, and small hail were observed with this frontal system as well as lightning strikes in San Francisco.",12
675765,EAST BAY HILLS AND THE DIABLO RANGE (ZONE), ,01/22/2017,118,High Wind,57.00, ,0,0,0,0,CA,PST-8,EG,113041,Z,511,MTR,0,0,Mesonet, , , , , , , , ,01/22/2017,120, , , , ,"Wind gust of 66 mph recorded at Calaveras.","Third in a series of three storm systems occurred from January 22 to January 23. Heavy rain, lightning, wind, hail, snow (above 2500 ft), and record breaking surf were observed with this system.",13
675766,ALAMEDA CO.,BERKELEY,01/22/2017,1404,Hail,0.25, ,0,0,10,10,CA,PST-8, ,113041,C,1,MTR,0,0,Trained Spotter, , , ,2,ESE,2,ESE,BERKELEY,01/22/2017,1504,37.8601,-122.2332,37.8601,-122.2332,"Pea sized hail reported by spotter. Several other reports of pea sized hail also.","Third in a series of three storm systems occurred from January 22 to January 23. Heavy rain, lightning, wind, hail, snow (above 2500 ft), and record breaking surf were observed with this system.",14
680868,ALAMEDA CO.,ALAMEDA NAS,02/07/2017,219,Flood, , ,0,0,0,0,CA,PST-8, ,113742,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,2,NE,2,NE,ALAMEDA NAS,02/07/2017,419,37.8087,-122.3043,37.8086,-122.3044,"On ramp to SB I880 at 7th st 3-4 ft standing water.","An atmospheric river swept through the Bay Area beginning on the night of Feb 6. This system produced widespread roadway flooding, debris flows, and strong winds.",15
680870,ALAMEDA CO.,ALAMEDA,02/07/2017,315,Flood, , ,0,0,0,0,CA,PST-8, ,113742,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,2,NNW,2,NNW,ALAMEDA,02/07/2017,515,37.8,-122.28,37.8,-122.2796,"I880 and 5th st on ramp flooded.","An atmospheric river swept through the Bay Area beginning on the night of Feb 6. This system produced widespread roadway flooding, debris flows, and strong winds.",16
681172,EAST BAY HILLS AND THE DIABLO RANGE (ZONE), ,02/07/2017,450,High Wind,51.00, ,0,0,0,0,CA,PST-8,MG,113742,Z,511,MTR,0,0,Mesonet, , , , , , , , ,02/07/2017,451, , , , ,"Wind gust of 59 mph recorded by Mt. Diablo Raws.","An atmospheric river swept through the Bay Area beginning on the night of Feb 6. This system produced widespread roadway flooding, debris flows, and strong winds.",17
681181,EAST BAY HILLS AND THE DIABLO RANGE (ZONE), ,02/07/2017,528,High Wind,54.00, ,0,0,0,0,CA,PST-8,MG,113742,Z,511,MTR,0,0,Mesonet, , , , , , , , ,02/07/2017,530, , , , ,"Gust of 62 mph measured at Rose Peak.","An atmospheric river swept through the Bay Area beginning on the night of Feb 6. This system produced widespread roadway flooding, debris flows, and strong winds.",18
681185,EAST BAY INTERIOR VALLEYS (ZONE), ,02/07/2017,533,Strong Wind,49.00, ,0,0,0,0,CA,PST-8,MG,113742,Z,510,MTR,0,0,Mesonet, , , , , , , , ,02/07/2017,538, , , , ,"Gust of 56 mph measured 4 miles E of Berkeley.","An atmospheric river swept through the Bay Area beginning on the night of Feb 6. This system produced widespread roadway flooding, debris flows, and strong winds.",19
681197,EAST BAY INTERIOR VALLEYS (ZONE), ,02/07/2017,930,High Wind,60.00, ,0,0,0,0,CA,PST-8,EG,113742,Z,510,MTR,0,0,Public, , , , , , , , ,02/07/2017,935, , , , ,"Large tree fell on the Uplands rd in Berkeley. Photo received via social media. Exact time is unknown.","An atmospheric river swept through the Bay Area beginning on the night of Feb 6. This system produced widespread roadway flooding, debris flows, and strong winds.",20
683427,ALAMEDA CO.,NILES,02/07/2017,945,Flash Flood, , ,0,0,0,0,CA,PST-8, ,113742,C,1,MTR,0,0,River/Stream Gage,Heavy Rain, , ,1,NNW,1,NNW,NILES,02/07/2017,1715,37.5923,-121.9591,37.5914,-121.9588,"Alameda Creek near Niles gauge above flood stage.","An atmospheric river swept through the Bay Area beginning on the night of Feb 6. This system produced widespread roadway flooding, debris flows, and strong winds.",21
681200,ALAMEDA CO.,MIDWAY,02/07/2017,1645,Flood, , ,0,0,0,0,CA,PST-8, ,113742,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,16,SSE,16,SSE,MIDWAY,02/07/2017,1745,37.5133,-121.4578,37.5112,-121.4594,"Closure of road at W Corral Hollow Rd due to flooding.","An atmospheric river swept through the Bay Area beginning on the night of Feb 6. This system produced widespread roadway flooding, debris flows, and strong winds.",22
683632,SAN FRANCISCO BAY SHORELINE (ZONE), ,02/09/2017,1209,High Wind,50.00, ,0,0,0,0,CA,PST-8,MG,113743,Z,508,MTR,0,0,Mesonet, , , , , , , , ,02/09/2017,1210, , , , ,"Golden Gate Bridge 58 mph.","A cold front passed over the area Thursday Feb 9. There were strong winds ahead of the front and heavy rains associated with the frontal passage that produced roadway flooding and debris flows.",23
683672,ALAMEDA CO.,PIEDMONT,02/09/2017,1559,Debris Flow, , ,0,0,0,0,CA,PST-8, ,113743,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,2,ENE,2,ENE,PIEDMONT,02/09/2017,1759,37.8377,-122.1904,37.8375,-122.1904,"Large boulder blocking southbound lane of Skyline jso Grizzly Peak.","A cold front passed over the area Thursday Feb 9. There were strong winds ahead of the front and heavy rains associated with the frontal passage that produced roadway flooding and debris flows.",24
684715,ALAMEDA CO.,DOUGHERTY,02/09/2017,1656,Flood, , ,0,0,0,0,CA,PST-8, ,113743,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,1,S,1,S,DOUGHERTY,02/09/2017,1756,37.7017,-121.9214,37.7018,-121.9219,"Four inches of water in right lane of SB 680 to EB 580.","A cold front passed over the area Thursday Feb 9. There were strong winds ahead of the front and heavy rains associated with the frontal passage that produced roadway flooding and debris flows.",25
683659,SAN FRANCISCO BAY SHORELINE (ZONE), ,02/17/2017,907,High Wind,50.00, ,0,0,0,0,CA,PST-8,EG,112432,Z,508,MTR,0,0,Law Enforcement, , , , , , , , ,02/17/2017,917, , , , ,"Tree blown down 30 to 40 ft tall over 2 lanes of HWY 280 at San Bruno Ave.","Deepen low pressure approaching the coast caused gale to strong gale force wind gusts through the populated areas. Coastal mountains gusted to hurricane force.",26
683661,SAN FRANCISCO BAY SHORELINE (ZONE), ,02/17/2017,1104,High Wind,55.00, ,0,0,0,0,CA,PST-8,MG,112432,Z,508,MTR,0,0,Trained Spotter, , , , , , , , ,02/17/2017,1114, , , , ,"Winds have picked up...mainly from the southeast...over the past hour or so.","Deepen low pressure approaching the coast caused gale to strong gale force wind gusts through the populated areas. Coastal mountains gusted to hurricane force.",27
683662,SAN FRANCISCO BAY SHORELINE (ZONE), ,02/17/2017,1106,Strong Wind,40.00, ,0,0,0,0,CA,PST-8,EG,112432,Z,508,MTR,0,0,Law Enforcement, , , , , , , , ,02/17/2017,1116, , , , ,"Medium sized tree fell over, blocking on ramp to Automall Pkwy.","Deepen low pressure approaching the coast caused gale to strong gale force wind gusts through the populated areas. Coastal mountains gusted to hurricane force.",28
681555,ALAMEDA CO.,CAYLEY,02/20/2017,818,Flood, , ,0,0,0,0,CA,PST-8, ,112433,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,1,ENE,1,ENE,CAYLEY,02/20/2017,1018,37.7551,-121.5749,37.7547,-121.5747,"East bound lane of Mountain Houses Road at Grant Line Road flooded.","Potent AR brought copious amounts of rain to the region causing widespread flooding, debris flow, accidents, and over topping of reservoir spillways.",29
683499,ALAMEDA CO.,NILES,02/20/2017,930,Flash Flood, , ,0,0,0,0,CA,PST-8, ,112433,C,1,MTR,0,0,River/Stream Gage,Heavy Rain, , ,1,NW,0,NNW,NILES,02/21/2017,1300,37.5914,-121.9622,37.5845,-121.9532,"Stream gauge on Alameda Creek at Niles was above flood stage between 9:30 am on February 20 and 1:00 pm on February 21.","Potent AR brought copious amounts of rain to the region causing widespread flooding, debris flow, accidents, and over topping of reservoir spillways.",30
682015,ALAMEDA CO.,LIVERMORE,02/20/2017,1608,Debris Flow, , ,0,0,0,0,CA,PST-8, ,112433,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,4,SSW,4,SSW,LIVERMORE,02/20/2017,1613,37.6287,-121.8028,37.6285,-121.8028,"Slide blocking at least one lane EB 84 just west of Vallecitos.","Potent AR brought copious amounts of rain to the region causing widespread flooding, debris flow, accidents, and over topping of reservoir spillways.",31
683474,ALAMEDA CO.,SUNOL,02/20/2017,1608,Flash Flood, , ,0,0,0,0,CA,PST-8, ,112433,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,0,WSW,1,SSW,SUNOL,02/20/2017,1808,37.5987,-121.9047,37.589,-121.9053,"State route 84 completely closed in both directions due to Alameda Creek flooding between Mission in Fremont to Main St in Sunol, 4 to 5 rock slides with flooding.","Potent AR brought copious amounts of rain to the region causing widespread flooding, debris flow, accidents, and over topping of reservoir spillways.",32
681618,ALAMEDA CO.,DOUGHERTY,02/20/2017,1615,Flood, , ,0,0,0,0,CA,PST-8, ,112433,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,1,S,1,S,DOUGHERTY,02/20/2017,1815,37.7028,-121.9224,37.7023,-121.9225,"Roadway flooding and debris both lanes EB 580 to SB 680.","Potent AR brought copious amounts of rain to the region causing widespread flooding, debris flow, accidents, and over topping of reservoir spillways.",33
681623,ALAMEDA CO.,ULMAR,02/20/2017,1638,Flood, , ,0,0,0,0,CA,PST-8, ,112433,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,2,NNW,2,NNW,ULMAR,02/20/2017,1838,37.7431,-121.7122,37.7425,-121.7123,"At least 4 feet of water in area of Laughlin Road. Vehicles covered with water up to windshields.","Potent AR brought copious amounts of rain to the region causing widespread flooding, debris flow, accidents, and over topping of reservoir spillways.",34
681630,ALAMEDA CO.,SUNOL,02/20/2017,1645,Flood, , ,0,0,0,0,CA,PST-8, ,112433,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,2,ESE,2,ESE,SUNOL,02/20/2017,1845,37.59,-121.87,37.5906,-121.8704,"Standing water in at least one lane I680N near SR 84E.","Potent AR brought copious amounts of rain to the region causing widespread flooding, debris flow, accidents, and over topping of reservoir spillways.",35
682364,EAST BAY INTERIOR VALLEYS (ZONE), ,02/20/2017,1650,High Wind,50.00, ,0,0,0,0,CA,PST-8,EG,112433,Z,510,MTR,0,0,Law Enforcement, , , , , , , , ,02/20/2017,1655, , , , ,"Tree down blocking eastbound lanes touching power lines Boulevard Way near Kinney Dr.","Potent AR brought copious amounts of rain to the region causing widespread flooding, debris flow, accidents, and over topping of reservoir spillways.",36
681637,ALAMEDA CO.,CURTNER,02/20/2017,1701,Flood, , ,0,0,0,0,CA,PST-8, ,112433,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,2,SE,2,SE,CURTNER,02/20/2017,1901,37.4669,-121.9054,37.4667,-121.9063,"At least two lanes flooded I680N near Scott Creek Rd on ramp.","Potent AR brought copious amounts of rain to the region causing widespread flooding, debris flow, accidents, and over topping of reservoir spillways.",37
681642,ALAMEDA CO.,KILKARE WOODS,02/20/2017,1711,Flood, , ,0,0,0,0,CA,PST-8, ,112433,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,1,SE,1,SE,KILKARE WOODS,02/20/2017,1911,37.6225,-121.9065,37.6222,-121.907,"Water and mud running across roadway 2000 Kilkare Rd.","Potent AR brought copious amounts of rain to the region causing widespread flooding, debris flow, accidents, and over topping of reservoir spillways.",38
682373,ALAMEDA CO.,ELMHURST,02/20/2017,1721,Debris Flow, , ,0,0,0,0,CA,PST-8, ,112433,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,2,NNE,2,NNE,ELMHURST,02/20/2017,1921,37.7744,-122.158,37.7741,-122.1587,"Mud blocking sb lane and sink hole also in area on nb side. Roadway reportedly falling apart.","Potent AR brought copious amounts of rain to the region causing widespread flooding, debris flow, accidents, and over topping of reservoir spillways.",39
682386,ALAMEDA CO.,ULMAR,02/20/2017,1746,Debris Flow, , ,0,0,0,0,CA,PST-8, ,112433,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,3,SE,3,SE,ULMAR,02/20/2017,1946,37.6866,-121.6603,37.6857,-121.6604,"Mud slide blocking both lanes of EB Patterson Pass just east of Cross Rd.","Potent AR brought copious amounts of rain to the region causing widespread flooding, debris flow, accidents, and over topping of reservoir spillways.",40
681939,ALAMEDA CO.,KILKARE WOODS,02/20/2017,1750,Flood, , ,0,0,0,0,CA,PST-8, ,112433,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,2,ENE,2,ENE,KILKARE WOODS,02/20/2017,1950,37.6408,-121.8897,37.6405,-121.8894,"Vehicle in water with passengers on top of vehicle awaiting rescue.","Potent AR brought copious amounts of rain to the region causing widespread flooding, debris flow, accidents, and over topping of reservoir spillways.",41
682392,ALAMEDA CO.,FAIRMONT TERRACE,02/20/2017,1805,Debris Flow, , ,0,0,0,0,CA,PST-8, ,112433,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,0,SW,1,SW,FAIRMONT TERRACE,02/20/2017,2005,37.7149,-122.106,37.7144,-122.1059,"Landslide blocking southbound lanes Lake Chabor Rd and Fairmont Dr jso mm 2.45.","Potent AR brought copious amounts of rain to the region causing widespread flooding, debris flow, accidents, and over topping of reservoir spillways.",42
683500,ALAMEDA CO.,KILKARE WOODS,02/20/2017,1830,Flash Flood, , ,0,0,0,0,CA,PST-8, ,112433,C,1,MTR,0,0,River/Stream Gage,Heavy Rain, , ,2,E,1,NE,SUNOL,02/20/2017,2210,37.633,-121.8907,37.6153,-121.885,"Stream gauge on the Arroyo de la Laguna at Verona exceeded flood stage between 6:30 pm and 10 pm on February 20.","Potent AR brought copious amounts of rain to the region causing widespread flooding, debris flow, accidents, and over topping of reservoir spillways.",43
681949,ALAMEDA CO.,ALTAMONT,02/20/2017,1835,Flood, , ,0,0,0,0,CA,PST-8, ,112433,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,30,N,30,N,ALTAMONT,02/20/2017,2035,38.184,-121.7685,38.1832,-121.7688,"Lanes flooded of SR12 near McClosky Rd.","Potent AR brought copious amounts of rain to the region causing widespread flooding, debris flow, accidents, and over topping of reservoir spillways.",44
682401,ALAMEDA CO.,CAYLEY,02/20/2017,1902,Debris Flow, , ,0,0,0,0,CA,PST-8, ,112433,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,1,ESE,1,ESE,CAYLEY,02/20/2017,2102,37.7462,-121.5847,37.7456,-121.5849,"Debris flow blocking all lanes Altamont Pass Rd near Grant Line Rd.","Potent AR brought copious amounts of rain to the region causing widespread flooding, debris flow, accidents, and over topping of reservoir spillways.",45
681957,ALAMEDA CO.,TREVARNO,02/20/2017,1955,Flood, , ,0,0,0,0,CA,PST-8, ,112433,C,1,MTR,0,0,Department of Highways,Heavy Rain, , ,1,SSW,1,SSW,TREVARNO,02/20/2017,2155,37.6654,-121.7365,37.6653,-121.7375,"Roadway Flooding on Tesla rd in Dublin.","Potent AR brought copious amounts of rain to the region causing widespread flooding, debris flow, accidents, and over topping of reservoir spillways.",46
681974,ALAMEDA CO.,PLEASANTON,02/21/2017,19,Flood, , ,0,0,0,0,CA,PST-8, ,112433,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,2,N,2,N,PLEASANTON,02/21/2017,219,37.702,-121.8809,37.7013,-121.8811,"Westbound 580 flooded, 3 to 4 feet of water on northbound lanes.","Potent AR brought copious amounts of rain to the region causing widespread flooding, debris flow, accidents, and over topping of reservoir spillways.",47
682695,ALAMEDA CO.,ULMAR,02/21/2017,438,Debris Flow, , ,0,0,0,0,CA,PST-8, ,112433,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,3,SE,3,SE,ULMAR,02/21/2017,638,37.6906,-121.6653,37.6896,-121.6649,"Mudslide reported at wb Patterson Pass.","Potent AR brought copious amounts of rain to the region causing widespread flooding, debris flow, accidents, and over topping of reservoir spillways.",48
688553,ALAMEDA CO.,EMERYVILLE,03/04/2017,2045,Flood, , ,0,0,0,0,CA,PST-8, ,114796,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,2,SSE,2,SSE,EMERYVILLE,03/04/2017,2145,37.8253,-122.2658,37.8251,-122.2658,"Roadway flooding at 3601 Telegraph Ave.","A cold front moved through the MTR CWA the night of Saturday March 4th producing steady rain and isolated thunderstorms into Sunday. This system resulted in minor roadway flooding, a debris flow, and pea sized hail.",49
688556,ALAMEDA CO.,DOUGHERTY,03/04/2017,2238,Flood, , ,0,0,0,0,CA,PST-8, ,114796,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,1,S,1,S,DOUGHERTY,03/04/2017,2338,37.7024,-121.9217,37.7026,-121.9229,"Roadway flooding I-580 S connector to I-680. Both lanes flooded on connector.","A cold front moved through the MTR CWA the night of Saturday March 4th producing steady rain and isolated thunderstorms into Sunday. This system resulted in minor roadway flooding, a debris flow, and pea sized hail.",50
688564,ALAMEDA CO.,FAIRMONT TERRACE,03/05/2017,1932,Debris Flow, , ,0,0,0,0,CA,PST-8, ,114796,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,2,N,2,N,FAIRMONT TERRACE,03/05/2017,2032,37.7523,-122.0976,37.7519,-122.0975,"Small land slide on Redwood Road in Anthony Chabot Park.","A cold front moved through the MTR CWA the night of Saturday March 4th producing steady rain and isolated thunderstorms into Sunday. This system resulted in minor roadway flooding, a debris flow, and pea sized hail.",51
692402,EAST BAY HILLS AND THE DIABLO RANGE (ZONE), ,04/06/2017,1930,High Wind,43.00, ,0,0,0,0,CA,PST-8,MS,115314,Z,511,MTR,0,0,RAWS, , , , , , , , ,04/06/2017,2330, , , , ,"Sustained wind speeds of over 40 mph recorded during the period with peak sustained speed of 49 mph and gust of 68 mph.","A potent upper level trough with associated cold front moved through on April 6th causing roadway flooding, gusty winds over both land and sea, as well as strong swells which sunk a Bart Barge over the SF Bay. Post frontal conditions on the 8th brought scattered showers, frigid temperatures, and isolated thunderstorms with small hail.",52
692372,SAN FRANCISCO BAY SHORELINE (ZONE), ,04/06/2017,2201,Strong Wind,26.00, ,0,0,0,0,CA,PST-8,EG,115314,Z,508,MTR,0,0,Public, , , , , , , , ,04/06/2017,2206, , , , ,"Large tree limbs down at 33000 block of Dowe Ave in Union City, covering road. Report/pictures via social media. Gust estimate from Fremont RAWS.","A potent upper level trough with associated cold front moved through on April 6th causing roadway flooding, gusty winds over both land and sea, as well as strong swells which sunk a Bart Barge over the SF Bay. Post frontal conditions on the 8th brought scattered showers, frigid temperatures, and isolated thunderstorms with small hail.",53
692374,SAN FRANCISCO BAY SHORELINE (ZONE), ,04/07/2017,455,Strong Wind,21.00, ,0,0,0,0,CA,PST-8,EG,115314,Z,508,MTR,0,0,Broadcast Media, , , , , , , , ,04/07/2017,500, , , , ,"Downed power lines in addition to a land slide on Aitken Dr in Oakland Hills, with homes threatened. Time unknown, location based on social media post by local media. Gust estimate from Lafayette COOP.","A potent upper level trough with associated cold front moved through on April 6th causing roadway flooding, gusty winds over both land and sea, as well as strong swells which sunk a Bart Barge over the SF Bay. Post frontal conditions on the 8th brought scattered showers, frigid temperatures, and isolated thunderstorms with small hail.",54
692344,ALAMEDA CO.,EMERYVILLE,04/07/2017,535,Flood, , ,0,0,0,0,CA,PST-8, ,115314,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,2,SSE,2,W,PIEDMONT,04/07/2017,635,37.82,-122.27,37.8204,-122.2686,"Roadway flooding reported on EB 980 to EB 580, 6 inches deep 2-3 ft into lane.","A potent upper level trough with associated cold front moved through on April 6th causing roadway flooding, gusty winds over both land and sea, as well as strong swells which sunk a Bart Barge over the SF Bay. Post frontal conditions on the 8th brought scattered showers, frigid temperatures, and isolated thunderstorms with small hail.",55
